4,96150732
4,931981564
4,8531394
4,958530426
5,205623627
5,426265717
5,690792084
5,986812592
6,283321381
6,586421967
6,885128021
7,16979599
7,455440521
7,732772827
8,001693726
8,267318726
8,542953491
8,80430603
9,048324585
9,290267944
9,555648804
9,781967163
10,01548767
10,24351501
10,46604919
10,69493103
10,94200134
11,19297791
11,42320251
11,67332458
11,91233826
12,13780212
12,35606384
12,56773376
12,79270935
13,01890564
13,25791931
13,49546814
13,72093201
13,93418884
14,17271423
14,39622498
14,63340759
14,87400818
15,08799744
15,29954529
15,53013611
15,77061462
15,99021912
16,20762634
16,42478943
16,63853455
16,8513031
17,0811615
17,29917908
17,53831482
17,77452087
17,98838806
18,22496033
18,46739197
18,69017029
18,91430092
19,13390541
19,36120033
19,58886147
19,83605385
20,07799721
20,3267765
20,56762123
20,81127357
21,03539467
21,28991127
21,54198647
21,7684269
22,01745033
22,25292397
22,48473549
22,7050724
22,96434975
23,22472572
23,47313881
23,72887611
23,97094154
24,20153236
24,45824623
24,6903019
24,9205265
25,15026283
25,38378334
25,61327553
25,87536049
26,14623451
26,3880558
26,6446476
26,91124916
27,14953041
27,38915443
27,63158607
27,87755775
28,14550209
28,42174721
28,69652748
28,94664955
29,20067787
29,47496986
29,73131752
30,00939369
30,26647377
30,52770424
30,81274986
31,1053524
31,39795494
31,65711021
31,92590904
32,18945694
32,45068741
32,7406044
33,03076553
33,29944229
33,5999794
33,87451553
34,16870499
34,47388077
34,77405167
35,05102921
35,35766983
35,67456436
35,96081924
36,24365616
36,56018448
36,84961319
37,16675186
37,48523331
37,77368546
38,06616592
38,39307022
38,68811417
39,0251503
39,33130264
39,63428116
39,93945694
40,24731827
40,57886124
40,92285538
41,26636124
41,61096573
41,92175674
42,24109268
42,58874893
42,91614151
43,24475479
43,57898331
43,91077042
44,25525284
44,62390518
44,9906044
45,3590126
45,73242188
46,10644531
46,45019531
46,80126953
47,15478516
47,5065918
47,85620117
48,21508789
48,57373047
48,93286133
49,33056641
49,73779297
50,14208984
50,54711914
50,92480469
51,30249023
51,70996094
52,12841797
