s;F;;s;F;;s;F;;s;F
13,96309524;20,63658714;;13,94096502;21,56642342;;14,19113827;19,13390541;;13,94066814;21,05251122
13,95309311;20,86900902;;13,93094763;21,81837654;;14,18113613;19,36120033;;13,93065837;21,30360985
13,94308334;21,10350609;;13,92093786;22,07972908;;14,17111873;19,58886147;;13,92064861;21,54982567
13,93307358;21,34984398;;13,9109281;22,34584236;;14,16013241;19,83605385;;13,91063884;21,80531883
13,92306381;21,58507347;;13,89993414;22,62501717;;14,14914608;20,07799721;;13,89964488;22,09242821
13,91306167;21,83543968;;13,88895544;22,90919685;;14,13815212;20,3267765;;13,88866619;22,37978172
13,90305954;22,08141136;;13,87796148;23,20778084;;14,12717342;20,56762123;;13,87866405;22,63942528
13,89208084;22,34642601;;13,86795935;23,46766853;;14,11618709;20,81127357;;13,86866191;22,89735985
13,88108688;22,60997581;;13,85698065;23,75636482;;14,10617733;21,03539467;;13,85767558;23,17812157
13,87108475;22,86375999;;13,84696325;24,02772713;;14,09517574;21,28991127;;13,84766582;23,44179344
13,86010605;23,13268089;;13,83695349;24,28871346;;14,08418178;21,54198647;;13,83765605;23,69899559
13,85010391;23,39049339;;13,82695135;24,54786873;;14,07417965;21,7684269;;13,82765392;23,95998192
13,84008652;23,64378929;;13,81694921;24,81581306;;14,06318569;22,01745033;;13,81765178;24,22707176
13,83008438;23,89964867;;13,80595526;25,11207771;;14,0531683;22,25292397;;13,80666545;24,51711082
13,82008224;24,14452171;;13,7949613;25,40370369;;14,04314327;22,48473549;;13,7956715;24,80434227
13,81007248;24,38927269;;13,78397497;25,70326424;;14,03312588;22,7050724;;13,78467754;25,09340477
13,79907852;24,66332054;;13,77396521;25,97499275;;14,02215481;22,96434975;;13,77466777;25,36098289
13,78809219;24,93810081;;13,76395544;26,24025154;;14,01116848;23,22472572;;13,76465801;25,62550926
13,77809006;25,18126488;;13,75296148;26,5401783;;14,00018215;23,47313881;;13,75465587;25,89443016
13,76808029;25,43346214;;13,74295172;26,8123951;;13,98919582;23,72887611;;13,74465206;26,16210365
13,75708633;25,71349144;;13,73294958;27,08436775;;13,97918606;23,97094154;;13,73464993;26,43175697
13,7470842;25,96556664;;13,72194799;27,39393806;;13,96917629;24,20153236;;13,72365597;26,7206974
13,73707574;26,22425079;;13,7119306;27,67384529;;13,95818233;24,45824623;;13,71363095;26,98583412
13,72608178;26,5136795;;13,70192846;27,95631599;;13,94817257;24,6903019;;13,70362881;27,26244545
13,71606439;26,77222443;;13,69095739;28,25844002;;13,93815517;24,9205265;;13,69265774;27,56627846
13,70605462;27,03565216;;13,67997869;28,57094002;;13,92814541;25,15026283;;13,68167904;27,86168861
